iter	Logloss
0	0.6876648664
1	0.6788049936
2	0.6701091528
3	0.6665714979
4	0.6567095518
5	0.6509991884
6	0.6438843012
7	0.6396809816
8	0.6281884909
9	0.6234185696
10	0.6186963916
11	0.6147391796
12	0.6101157665
13	0.6043004394
14	0.6004781723
15	0.596696496
16	0.5904039741
17	0.5854092836
18	0.5771980882
19	0.5718308687
20	0.5659313798
21	0.5581300855
22	0.54979074
23	0.546456933
24	0.5409588218
25	0.5347445011
26	0.5309946537
27	0.5246773958
28	0.5160758495
29	0.5110290051
30	0.5069831014
31	0.5003629923
32	0.4969519377
33	0.4941042662
34	0.490794301
35	0.4854379296
36	0.4808483124
37	0.4781532884
38	0.4749540389
39	0.4701051712
40	0.4665242434
41	0.4627019167
42	0.4594045877
43	0.4548027515
44	0.4492006302
45	0.4462969601
46	0.4430330098
47	0.4390408695
48	0.4358292818
49	0.4330913424
50	0.4288414121
51	0.422480613
52	0.4187707007
53	0.4143559933
54	0.4114412665
55	0.4066286385
56	0.4041559696
57	0.4013383389
58	0.3971995711
59	0.3952140212
60	0.3928345442
61	0.389138639
62	0.3868667185
63	0.3838993907
64	0.3816224933
65	0.3784068227
66	0.3756387532
67	0.3704403639
68	0.368317306
69	0.3658832312
70	0.3629174232
71	0.3600048423
72	0.3565258086
73	0.3545122445
74	0.3525187969
75	0.3496718407
76	0.347735554
77	0.344999522
78	0.3427892923
79	0.3406383991
80	0.3374490142
81	0.3348632455
82	0.3325802088
83	0.3302648664
84	0.3282062411
85	0.3252014518
86	0.3226739168
87	0.3185657263
88	0.316658318
89	0.3150004745
90	0.3130955994
91	0.3109771013
92	0.3082256317
93	0.3063903451
94	0.3045716584
95	0.3019139767
96	0.3008503318
97	0.2993527353
98	0.2980630994
99	0.2954984307
100	0.294470042
101	0.2919411063
102	0.2884350419
103	0.2849963307
104	0.2825994492
105	0.2802484632
106	0.2787007689
107	0.2771732807
108	0.2748970389
109	0.2736095786
110	0.2713604569
111	0.2695390582
112	0.2680697441
113	0.2659027278
114	0.2637767792
115	0.260800004
116	0.2587379515
117	0.2567104995
118	0.2547022104
119	0.2527238727
120	0.2507708073
121	0.248026669
122	0.2461190075
123	0.2442484796
124	0.2424057424
125	0.2405828536
126	0.2387851626
127	0.2370100021
128	0.2352602929
129	0.2335310876
130	0.2318217605
131	0.2301380485
132	0.2284589261
133	0.2268163264
134	0.2251930833
135	0.2235880643
136	0.2220039517
137	0.2204237878
138	0.2188632488
139	0.2173328102
140	0.2157999873
141	0.2143037617
142	0.2121780813
143	0.2107082903
144	0.2092682421
145	0.2078554928
146	0.2064599693
147	0.2050791532
148	0.2037139833
149	0.2023652196
150	0.2010309249
151	0.1997110546
152	0.1984064877
153	0.1971167028
154	0.195841074
155	0.1945788562
156	0.1933311224
157	0.1920830309
158	0.1908635795
159	0.1896372139
160	0.1884429753
161	0.1872617602
162	0.1860932112
163	0.1849239171
164	0.1837809682
165	0.1826354861
166	0.1815169454
167	0.1804102361
168	0.1793154031
169	0.1782313585
170	0.1771589369
171	0.1760807931
172	0.1750315428
173	0.1739930511
174	0.1729652584
175	0.17194812
176	0.1709421277
177	0.1699454337
178	0.1689605713
179	0.1679853499
