iter	Passed	Remaining
0	145	28906
1	145	14427
2	146	9598
3	146	7176
4	146	5719
5	146	4744
6	146	4049
7	147	3530
8	147	3124
9	147	2799
10	147	2535
11	147	2314
12	148	2131
13	148	1969
14	148	1830
15	148	1707
16	148	1599
17	148	1503
18	148	1417
19	148	1339
20	148	1269
21	149	1205
22	149	1147
23	149	1093
24	149	1045
25	149	1001
26	149	959
27	149	920
28	150	884
29	150	850
30	150	819
31	150	790
32	150	763
33	151	737
34	151	712
35	151	690
36	151	668
37	151	647
38	152	628
39	152	609
40	152	591
41	152	574
42	152	557
43	152	542
44	153	527
45	153	513
46	153	499
47	153	486
48	153	473
49	153	461
50	154	450
51	154	439
52	154	428
53	154	418
54	154	408
55	154	398
56	155	389
57	155	380
58	155	371
59	155	363
60	156	355
61	156	347
62	156	339
63	156	332
64	156	325
65	156	318
66	156	311
67	156	304
68	157	298
69	157	292
70	157	286
71	157	280
72	157	274
73	157	268
74	157	263
75	158	258
76	158	253
77	158	248
78	159	243
79	159	239
80	159	234
81	159	230
82	159	225
83	160	221
84	160	217
85	160	212
86	160	208
87	161	204
88	161	201
89	161	197
90	161	193
91	161	189
92	161	186
93	162	182
94	162	179
95	162	176
96	162	172
97	162	169
98	163	166
99	163	163
100	163	160
101	163	157
102	163	154
103	163	151
104	164	148
105	164	145
106	164	143
107	164	140
108	164	137
109	165	135
110	165	132
111	165	130
112	165	127
113	165	125
114	166	122
115	166	120
116	166	118
117	166	115
118	166	113
119	167	111
120	167	109
121	167	107
122	167	105
123	168	103
124	168	100
125	168	98
126	168	96
127	168	94
128	168	92
129	169	91
130	169	89
131	169	87
132	169	85
133	169	83
134	169	81
135	170	80
136	170	78
137	170	76
138	170	74
139	170	73
140	170	71
141	171	69
142	171	68
143	171	66
144	171	65
145	172	63
146	172	62
147	172	60
148	172	59
149	172	57
150	172	56
151	173	54
152	173	53
153	173	51
154	173	50
155	173	48
156	173	47
157	174	46
158	174	44
159	174	43
160	174	42
161	174	40
162	174	39
163	175	38
164	175	37
165	175	35
166	175	34
167	175	33
168	175	32
169	176	31
170	176	29
171	176	28
172	176	27
173	176	26
174	177	25
175	177	24
176	177	23
177	177	21
178	177	20
179	178	19
180	178	18
181	178	17
182	178	16
183	178	15
184	179	14
185	179	13
186	179	12
187	179	11
188	179	10
189	179	9
190	180	8
191	180	7
192	180	6
193	180	5
194	181	4
195	181	3
196	181	2
197	181	1
198	181	0
199	181	0
