worker_id,month,gross_earning,platform_fees,net_earning,currency,prev_month_net
WRK-000001,2024-08,1968.68,280.44,1688.24,EUR,0.0
WRK-000001,2024-09,2013.63,286.85,1726.78,EUR,1688.24
WRK-000001,2024-10,2070.73,294.98,1775.75,EUR,1726.78
WRK-000001,2024-11,2030.77,289.29,1741.48,EUR,1775.75
WRK-000001,2024-12,1952.35,278.12,1674.23,EUR,1741.48
WRK-000001,2025-01,1934.8,275.62,1659.18,EUR,1674.23
WRK-000001,2025-02,1996.03,284.34,1711.69,EUR,1659.18
WRK-000001,2025-03,2179.96,310.54,1869.42,EUR,1711.69
WRK-000001,2025-04,2005.51,285.69,1719.82,EUR,1869.42
WRK-000001,2025-05,1959.32,279.11,1680.21,EUR,1719.82
WRK-000001,2025-06,1729.65,246.39,1483.26,EUR,1680.21
WRK-000001,2025-07,1658.66,236.28,1422.38,EUR,1483.26
WRK-000001,2025-08,2028.6,288.98,1739.62,EUR,1422.38
WRK-000001,2025-09,2031.96,289.46,1742.5,EUR,1739.62
WRK-000001,2025-10,1983.64,282.57,1701.07,EUR,1742.5
WRK-000001,2025-11,1868.3,266.14,1602.16,EUR,1701.07
WRK-000001,2025-12,2131.2,303.59,1827.61,EUR,1602.16
WRK-000001,2026-01,2420.5,344.81,2075.69,EUR,1827.61
WRK-000001,2026-02,2281.67,325.03,1956.64,EUR,2075.69
WRK-000002,2024-03,2045.36,233.13,1812.23,EUR,0.0
WRK-000002,2024-04,1827.37,208.28,1619.09,EUR,1812.23
WRK-000002,2024-05,1829.67,208.54,1621.13,EUR,1619.09
WRK-000002,2024-06,2012.03,229.33,1782.7,EUR,1621.13
WRK-000002,2024-07,1897.58,216.28,1681.3,EUR,1782.7
WRK-000002,2024-08,1941.94,221.34,1720.6,EUR,1681.3
WRK-000002,2024-09,2117.03,241.3,1875.73,EUR,1720.6
WRK-000002,2024-10,2043.47,232.91,1810.56,EUR,1875.73
WRK-000002,2024-11,2074.91,236.5,1838.41,EUR,1810.56
WRK-000002,2024-12,1999.64,227.92,1771.72,EUR,1838.41
WRK-000002,2025-01,1911.75,217.9,1693.85,EUR,1771.72
WRK-000002,2025-02,1732.5,197.47,1535.03,EUR,1693.85
WRK-000002,2025-03,1971.13,224.67,1746.46,EUR,1535.03
WRK-000002,2025-04,2181.25,248.62,1932.63,EUR,1746.46
WRK-000002,2025-05,2213.34,252.27,1961.07,EUR,1932.63
WRK-000002,2025-06,2145.26,244.51,1900.75,EUR,1961.07
WRK-000002,2025-07,2090.61,238.29,1852.32,EUR,1900.75
WRK-000002,2025-08,2058.83,234.66,1824.17,EUR,1852.32
WRK-000002,2025-09,1836.32,209.3,1627.02,EUR,1824.17
WRK-000002,2025-10,1983.03,226.02,1757.01,EUR,1627.02
WRK-000002,2025-11,2075.5,236.56,1838.94,EUR,1757.01
WRK-000002,2025-12,2017.04,229.9,1787.14,EUR,1838.94
WRK-000002,2026-01,2032.03,231.61,1800.42,EUR,1787.14
WRK-000002,2026-02,2120.23,241.66,1878.57,EUR,1800.42
WRK-000003,2024-09,1764.93,179.95,1584.98,EUR,0.0
WRK-000003,2024-10,1643.43,167.56,1475.87,EUR,1584.98
WRK-000003,2024-11,1582.07,161.3,1420.77,EUR,1475.87
WRK-000003,2024-12,1518.32,154.8,1363.52,EUR,1420.77
WRK-000003,2025-01,1663.27,169.58,1493.69,EUR,1363.52
WRK-000003,2025-02,1676.82,170.96,1505.86,EUR,1493.69
WRK-000003,2025-03,1852.48,188.87,1663.61,EUR,1505.86
WRK-000003,2025-04,2050.48,209.06,1841.42,EUR,1663.61
WRK-000003,2025-05,1966.37,200.49,1765.88,EUR,1841.42
WRK-000003,2025-06,1753.41,178.77,1574.64,EUR,1765.88
WRK-000003,2025-07,1725.4,175.92,1549.48,EUR,1574.64
WRK-000003,2025-08,1740.45,177.45,1563.0,EUR,1549.48
WRK-000003,2025-09,1612.97,164.45,1448.52,EUR,1563.0
WRK-000003,2025-10,1652.06,168.44,1483.62,EUR,1448.52
WRK-000003,2025-11,1737.4,177.14,1560.26,EUR,1483.62
WRK-000003,2025-12,1726.19,176.0,1550.19,EUR,1560.26
WRK-000003,2026-01,1691.35,172.45,1518.9,EUR,1550.19
WRK-000003,2026-02,1672.02,170.47,1501.55,EUR,1518.9
WRK-000004,2024-08,2385.77,292.05,2093.72,EUR,0.0
WRK-000004,2024-09,2495.1,305.43,2189.67,EUR,2093.72
WRK-000004,2024-10,2372.83,290.46,2082.37,EUR,2189.67
WRK-000004,2024-11,2338.52,286.26,2052.26,EUR,2082.37
WRK-000004,2024-12,2243.97,274.69,1969.28,EUR,2052.26
WRK-000004,2025-01,2190.47,268.14,1922.33,EUR,1969.28
WRK-000004,2025-02,2335.77,285.93,2049.84,EUR,1922.33
WRK-000004,2025-03,2435.93,298.19,2137.74,EUR,2049.84
WRK-000004,2025-04,2324.51,284.55,2039.96,EUR,2137.74
WRK-000004,2025-05,2394.23,293.08,2101.15,EUR,2039.96
WRK-000004,2025-06,2304.13,282.05,2022.08,EUR,2101.15
WRK-000004,2025-07,2364.77,289.48,2075.29,EUR,2022.08
WRK-000004,2025-08,2319.21,283.9,2035.31,EUR,2075.29
WRK-000004,2025-09,2148.85,263.05,1885.8,EUR,2035.31
WRK-000004,2025-10,2089.77,255.81,1833.96,EUR,1885.8
WRK-000004,2025-11,2166.85,265.25,1901.6,EUR,1833.96
WRK-000004,2025-12,2378.74,291.19,2087.55,EUR,1901.6
WRK-000004,2026-01,2316.03,283.51,2032.52,EUR,2087.55
WRK-000004,2026-02,2477.29,303.25,2174.04,EUR,2032.52
WRK-000005,2024-09,1718.03,236.57,1481.46,EUR,0.0
WRK-000005,2024-10,1612.86,222.09,1390.77,EUR,1481.46
WRK-000005,2024-11,1498.06,206.28,1291.78,EUR,1390.77
WRK-000005,2024-12,1556.65,214.35,1342.3,EUR,1291.78
WRK-000005,2025-01,1489.32,205.07,1284.25,EUR,1342.3
WRK-000005,2025-02,1596.0,219.76,1376.24,EUR,1284.25
WRK-000005,2025-03,1470.08,202.43,1267.65,EUR,1376.24
WRK-000005,2025-04,1489.87,205.15,1284.72,EUR,1267.65
WRK-000005,2025-05,1310.19,180.41,1129.78,EUR,1284.72
WRK-000005,2025-06,1255.38,172.86,1082.52,EUR,1129.78
WRK-000005,2025-07,1366.81,188.21,1178.6,EUR,1082.52
