worker_id,month,rent,transport,food,insurance,total
WRK-000001,2024-04,361.12,74.33,153.72,150.3,739.47
WRK-000001,2024-05,375.66,77.33,159.91,156.35,769.25
WRK-000001,2024-06,346.01,71.22,147.29,144.01,708.53
WRK-000001,2024-07,336.42,69.25,143.21,140.02,688.9
WRK-000001,2024-08,329.47,67.82,140.25,137.13,674.67
WRK-000001,2024-09,362.97,74.71,154.51,151.07,743.26
WRK-000001,2024-10,369.3,76.02,157.2,153.71,756.23
WRK-000001,2024-11,381.31,78.49,162.32,158.7,780.82
WRK-000001,2024-12,373.95,76.98,159.19,155.64,765.76
WRK-000001,2025-01,374.59,77.11,159.46,155.91,767.07
WRK-000001,2025-02,347.05,71.44,147.73,144.45,710.67
WRK-000001,2025-03,351.2,72.29,149.5,146.17,719.16
WRK-000001,2025-04,372.75,76.73,158.68,155.14,763.3
WRK-000001,2025-05,334.74,68.9,142.49,139.32,685.45
WRK-000001,2025-06,345.64,71.15,147.14,143.86,707.79
WRK-000001,2025-07,363.47,74.82,154.72,151.28,744.29
WRK-000001,2025-08,365.26,75.19,155.49,152.03,747.97
WRK-000001,2025-09,364.23,74.97,155.05,151.6,745.85
WRK-000001,2025-10,329.57,67.84,140.29,137.17,674.87
WRK-000001,2025-11,361.48,74.41,153.88,150.45,740.22
WRK-000001,2025-12,355.77,73.23,151.45,148.08,728.53
WRK-000001,2026-01,339.39,69.86,144.47,141.26,694.98
WRK-000001,2026-02,351.7,72.4,149.71,146.38,720.19
WRK-000002,2024-04,410.33,83.52,285.45,217.45,996.75
WRK-000002,2024-05,409.86,83.42,285.13,217.2,995.61
WRK-000002,2024-06,372.34,75.79,259.02,197.32,904.47
WRK-000002,2024-07,415.12,84.49,288.79,219.99,1008.39
WRK-000002,2024-08,419.76,85.44,292.01,222.45,1019.66
WRK-000002,2024-09,375.46,76.42,261.19,198.97,912.04
WRK-000002,2024-10,380.73,77.5,264.86,201.77,924.86
WRK-000002,2024-11,402.82,81.99,280.23,213.47,978.51
WRK-000002,2024-12,377.44,76.82,262.57,200.02,916.85
WRK-000002,2025-01,380.21,77.39,264.5,201.49,923.59
WRK-000002,2025-02,398.1,81.03,276.95,210.97,967.05
WRK-000002,2025-03,424.49,86.4,295.31,224.96,1031.16
WRK-000002,2025-04,373.28,75.98,259.68,197.82,906.76
WRK-000002,2025-05,420.23,85.54,292.34,222.7,1020.81
WRK-000002,2025-06,423.3,86.16,294.48,224.33,1028.27
WRK-000002,2025-07,374.73,76.27,260.69,198.58,910.27
WRK-000002,2025-08,410.24,83.5,285.39,217.41,996.54
WRK-000002,2025-09,403.09,82.05,280.42,213.62,979.18
WRK-000002,2025-10,369.4,75.19,256.98,195.76,897.33
WRK-000002,2025-11,374.43,76.21,260.48,198.43,909.55
WRK-000002,2025-12,416.74,84.83,289.92,220.85,1012.34
WRK-000002,2026-01,383.6,78.08,266.86,203.29,931.83
WRK-000002,2026-02,394.5,80.3,274.44,209.06,958.3
WRK-000003,2024-06,407.08,122.66,183.33,156.56,869.63
WRK-000003,2024-07,367.89,110.85,165.68,141.49,785.91
WRK-000003,2024-08,404.49,121.88,182.16,155.57,864.1
WRK-000003,2024-09,382.54,115.27,172.28,147.13,817.22
WRK-000003,2024-10,372.99,112.39,167.97,143.45,796.8
WRK-000003,2024-11,403.18,121.49,181.57,155.06,861.3
WRK-000003,2024-12,368.21,110.95,165.82,141.61,786.59
WRK-000003,2025-01,355.65,107.17,160.16,136.78,759.76
WRK-000003,2025-02,366.09,110.31,164.87,140.8,782.07
WRK-000003,2025-03,374.41,112.82,168.61,144.0,799.84
WRK-000003,2025-04,407.43,122.77,183.49,156.7,870.39
WRK-000003,2025-05,413.75,124.67,186.33,159.13,883.88
WRK-000003,2025-06,371.38,111.91,167.25,142.83,793.37
WRK-000003,2025-07,393.7,118.63,177.3,151.42,841.05
WRK-000003,2025-08,378.81,114.14,170.59,145.69,809.23
WRK-000003,2025-09,414.63,124.94,186.73,159.46,885.76
WRK-000003,2025-10,387.22,116.68,174.38,148.92,827.2
WRK-000003,2025-11,412.04,124.16,185.56,158.47,880.23
WRK-000003,2025-12,361.29,108.87,162.71,138.95,771.82
WRK-000003,2026-01,413.96,124.74,186.43,159.21,884.34
WRK-000003,2026-02,365.19,110.04,164.46,140.45,780.14
WRK-000004,2024-06,609.94,190.21,321.93,192.5,1314.58
WRK-000004,2024-07,616.78,192.34,325.54,194.66,1329.32
WRK-000004,2024-08,615.74,192.02,324.99,194.33,1327.08
WRK-000004,2024-09,638.9,199.24,337.21,201.64,1376.99
WRK-000004,2024-10,616.0,192.1,325.13,194.42,1327.65
WRK-000004,2024-11,570.0,177.75,300.85,179.9,1228.5
WRK-000004,2024-12,562.01,175.26,296.63,177.38,1211.28
WRK-000004,2025-01,598.13,186.52,315.69,188.78,1289.12
WRK-000004,2025-02,584.67,182.33,308.59,184.53,1260.12
WRK-000004,2025-03,581.95,181.48,307.15,183.67,1254.25
WRK-000004,2025-04,560.84,174.9,296.01,177.01,1208.76
WRK-000004,2025-05,604.42,188.49,319.02,190.76,1302.69
WRK-000004,2025-06,585.4,182.55,308.98,184.76,1261.69
WRK-000004,2025-07,599.07,186.82,316.19,189.07,1291.15
WRK-000004,2025-08,560.91,174.92,296.05,177.03,1208.91
WRK-000004,2025-09,635.75,198.26,335.55,200.65,1370.21
WRK-000004,2025-10,562.83,175.52,297.06,177.63,1213.04
WRK-000004,2025-11,638.9,199.24,337.21,201.64,1376.99
WRK-000004,2025-12,638.03,198.97,336.75,201.37,1375.12
WRK-000004,2026-01,614.82,191.73,324.5,194.04,1325.09
WRK-000004,2026-02,604.4,188.48,319.0,190.75,1302.63
WRK-000005,2024-05,538.74,161.14,279.7,179.87,1159.45
WRK-000005,2024-06,581.59,173.95,301.95,194.17,1251.66
WRK-000005,2024-07,518.72,155.15,269.31,173.18,1116.36
WRK-000005,2024-08,563.44,168.53,292.53,188.12,1212.62
WRK-000005,2024-09,551.51,164.96,286.33,184.13,1186.93
WRK-000005,2024-10,573.54,171.55,297.77,191.49,1234.35
WRK-000005,2024-11,577.95,172.86,300.06,192.96,1243.83
WRK-000005,2024-12,573.42,171.51,297.71,191.45,1234.09
WRK-000005,2025-01,561.41,167.92,291.48,187.44,1208.25
WRK-000005,2025-02,561.83,168.05,291.69,187.58,1209.15
WRK-000005,2025-03,518.49,155.08,269.19,173.11,1115.87
