tx_id,stripe_payment_intent,worker_id,date,amount_sent,currency_sent,amount_received,currency_received,exchange_rate,destination_country,status
FX-000001,pi_8d8eb743ac8a41445823bb16,WRK-000003,2024-06-18,197.59,EUR,7274.22,TRY,36.8147,TR,completed
FX-000002,pi_6cf0e97f46ed8bce7476acbd,WRK-000003,2024-06-05,287.41,EUR,11103.05,TRY,38.6314,TR,completed
FX-000003,pi_16d24575e4f6d7b0f31f003d,WRK-000003,2024-07-20,142.89,EUR,5295.65,TRY,37.061,TR,completed
FX-000004,pi_93bc29b1df104af6b1ba1cd9,WRK-000003,2024-07-04,255.22,EUR,9890.74,TRY,38.7538,TR,pending
FX-000005,pi_1a06765e7228a9ec7d953e47,WRK-000003,2024-08-25,197.38,EUR,7682.98,TRY,38.9248,TR,completed
FX-000006,pi_0d23c5eb40f1b7cba7c13b49,WRK-000003,2024-08-16,212.87,EUR,8067.45,TRY,37.8985,TR,completed
FX-000007,pi_743b5bfb3b49c9fd454b2004,WRK-000003,2024-09-05,227.59,EUR,8983.71,TRY,39.4732,TR,completed
FX-000008,pi_75f4d1179a2cf138699c6e49,WRK-000003,2024-10-14,169.59,EUR,6608.24,TRY,38.966,TR,completed
FX-000009,pi_33a22107943bb7aecaae68ae,WRK-000003,2024-11-27,141.12,EUR,5193.87,TRY,36.8046,TR,completed
FX-000010,pi_9de77464879eb903ad90cd9c,WRK-000003,2024-11-06,198.39,EUR,7753.74,TRY,39.0833,TR,completed
FX-000011,pi_29a7155ad5b4fd8755f68fa8,WRK-000003,2024-11-14,125.76,EUR,4850.69,TRY,38.571,TR,completed
FX-000012,pi_0424e70acb4063d1fa2e4b67,WRK-000003,2024-12-16,158.83,EUR,6146.31,TRY,38.6974,TR,completed
FX-000013,pi_d4c6e8d449f728588753b93c,WRK-000003,2025-02-02,171.82,EUR,6597.2,TRY,38.396,TR,completed
FX-000014,pi_6fca2f2f51d1e02df1c49615,WRK-000003,2025-02-22,266.23,EUR,10126.86,TRY,38.038,TR,completed
FX-000015,pi_bcd01aefb61ad7be0c45289c,WRK-000003,2025-02-06,146.85,EUR,5715.62,TRY,38.9215,TR,completed
FX-000016,pi_93a7ae7481ff4fb74fd1654b,WRK-000003,2025-03-01,286.92,EUR,11221.21,TRY,39.1092,TR,completed
FX-000017,pi_b097e4c95a9abadaea479b14,WRK-000003,2025-04-24,188.8,EUR,7051.32,TRY,37.3481,TR,completed
FX-000018,pi_e5842eff4dc71c3aa6d81641,WRK-000003,2025-04-12,233.69,EUR,9152.12,TRY,39.1635,TR,completed
FX-000019,pi_0e8e31de462f471e27abf6b2,WRK-000003,2025-07-14,230.57,EUR,9173.16,TRY,39.7847,TR,completed
FX-000020,pi_3735f5ea04ffd13af05fc3d8,WRK-000003,2025-09-19,153.98,EUR,6147.39,TRY,39.9233,TR,completed
FX-000021,pi_2e0d2242a00c3520b8b7c818,WRK-000003,2025-09-20,123.87,EUR,4904.06,TRY,39.5904,TR,completed
FX-000022,pi_f076a7e11914a85f8791bdac,WRK-000003,2025-10-24,267.3,EUR,10219.09,TRY,38.2308,TR,completed
FX-000023,pi_6b554fa7116b520f8a6df6e0,WRK-000003,2025-11-10,221.06,EUR,8384.54,TRY,37.9288,TR,completed
FX-000024,pi_3a31d5c9cdfd9a0ed42b450d,WRK-000003,2025-11-19,230.99,EUR,8510.34,TRY,36.8429,TR,completed
FX-000025,pi_67245f9e2c0176963851a984,WRK-000003,2026-01-08,185.27,EUR,7203.74,TRY,38.8824,TR,failed
FX-000026,pi_2450b26b8dc1d00ed99b6105,WRK-000003,2026-02-26,281.63,EUR,10799.5,TRY,38.3464,TR,completed
FX-000027,pi_68fdc24ad81dd4c4e26f3750,WRK-000004,2024-06-02,199.83,TRY,5.26,EUR,38.0148,DE,completed
FX-000028,pi_51b520e7dc79e032f96c313a,WRK-000004,2024-07-20,211.23,TRY,5.71,EUR,37.0018,DE,completed
FX-000029,pi_8326936a1f188f867af40c5b,WRK-000004,2024-08-21,144.79,TRY,3.73,EUR,38.8153,DE,completed
FX-000030,pi_5adaf722bf03ce546d70a4d0,WRK-000004,2024-09-21,187.7,TRY,5.07,EUR,37.0542,DE,completed
FX-000031,pi_6f77e8cb19d851a496b50d5f,WRK-000004,2024-11-09,245.51,TRY,6.2,EUR,39.6222,DE,completed
