worker_id,month,amount_eur,amount_try,exchange_rate,recipient_country
WRK-000001,2024-08,373.79,14189.71,37.9617,TR
WRK-000001,2024-09,473.69,18399.05,38.842,TR
WRK-000001,2024-10,444.8,16786.9,37.7403,TR
WRK-000001,2024-11,451.42,17028.67,37.7225,TR
WRK-000001,2024-12,391.39,15511.1,39.6308,TR
WRK-000001,2025-01,419.33,16199.37,38.6316,TR
WRK-000001,2025-02,438.16,17216.18,39.292,TR
WRK-000001,2025-03,490.96,18594.67,37.8741,TR
WRK-000001,2025-04,358.58,13652.47,38.0737,TR
WRK-000001,2025-05,379.13,14343.39,37.8324,TR
WRK-000001,2025-06,407.56,16045.4,39.3694,TR
WRK-000001,2025-07,325.81,12660.67,38.8591,TR
WRK-000001,2025-08,408.73,16127.51,39.4576,TR
WRK-000001,2025-09,417.42,15843.96,37.9569,TR
WRK-000001,2025-10,381.23,14731.4,38.6418,TR
WRK-000001,2025-11,360.94,13966.72,38.6954,TR
WRK-000001,2025-12,496.18,18987.63,38.2676,TR
WRK-000001,2026-01,461.06,18280.71,39.6493,TR
WRK-000001,2026-02,475.93,17873.55,37.555,TR
WRK-000002,2024-03,319.43,11974.09,37.4858,TR
WRK-000002,2024-04,251.63,9426.27,37.4608,TR
WRK-000002,2024-05,265.01,10459.62,39.4688,TR
WRK-000002,2024-06,296.21,11100.88,37.4764,TR
WRK-000002,2024-07,277.43,10906.22,39.3116,TR
WRK-000002,2024-08,246.58,9247.24,37.502,TR
WRK-000002,2024-09,342.3,13102.46,38.2777,TR
WRK-000002,2024-10,337.54,13049.62,38.661,TR
WRK-000002,2024-11,309.81,11598.3,37.4368,TR
WRK-000002,2024-12,255.09,9913.7,38.8635,TR
WRK-000002,2025-01,284.3,10824.95,38.0758,TR
WRK-000002,2025-02,234.56,9122.52,38.8921,TR
WRK-000002,2025-03,271.48,10304.99,37.9586,TR
WRK-000002,2025-04,282.92,10987.51,38.8361,TR
WRK-000002,2025-05,318.69,12585.4,39.491,TR
WRK-000002,2025-06,353.81,13220.65,37.3665,TR
WRK-000002,2025-07,316.01,12212.37,38.6455,TR
WRK-000002,2025-08,264.26,10196.98,38.5869,TR
WRK-000002,2025-09,268.31,10102.13,37.651,TR
WRK-000002,2025-10,276.14,10356.33,37.5039,TR
WRK-000002,2025-11,279.5,10621.93,38.0033,TR
